,origin,destination,volume_pt,volume_car,volume_walk,volumes_calibration
90,zone_bc_13,zone_bc_16,8772.0,7081.0,810.0,16663.0
91,zone_bc_13,zone_bc_17,85.0,0.0,0.0,85.0
92,zone_bc_13,zone_bc_19,2036.0,397.0,83.0,2516.0
93,zone_bc_13,zone_bc_20,1057.0,0.0,1620.0,2677.0
94,zone_bc_13,zone_bc_21,1549.0,0.0,0.0,1549.0
95,zone_bc_13,zone_bc_23,3314.0,1387.0,105.0,4806.0
96,zone_bc_13,zone_bc_24,6651.0,1295.0,58.0,8004.0
97,zone_bc_13,zone_bc_33,863.0,1840.0,198.0,2901.0
98,zone_bc_13,zone_bc_37,283.0,0.0,0.0,283.0
99,zone_bc_13,zone_bc_39,3073.0,148.0,0.0,3221.0
100,zone_bc_13,zone_bc_46,159.0,159.0,0.0,318.0
101,zone_bc_14,zone_bc_1,1556.0,1689.0,0.0,3245.0
102,zone_bc_14,zone_bc_6,269.0,0.0,0.0,269.0
103,zone_bc_14,zone_bc_8,858.0,0.0,182.0,1040.0
104,zone_bc_14,zone_bc_9,6607.0,471.0,0.0,7078.0
105,zone_bc_14,zone_bc_11,5082.0,643.0,821.0,6546.0
106,zone_bc_14,zone_bc_13,8710.0,696.0,1650.0,11056.0
107,zone_bc_14,zone_bc_14,7706.0,732.0,16015.0,24453.0
108,zone_bc_14,zone_bc_16,4766.0,658.0,185.0,5609.0
109,zone_bc_14,zone_bc_20,305.0,98.0,0.0,403.0
110,zone_bc_14,zone_bc_23,2174.0,21.0,0.0,2195.0
111,zone_bc_14,zone_bc_24,1165.0,0.0,0.0,1165.0
112,zone_bc_14,zone_bc_28,198.0,0.0,0.0,198.0
113,zone_bc_14,zone_bc_33,584.0,0.0,0.0,584.0
114,zone_bc_14,zone_bc_34,451.0,0.0,0.0,451.0
115,zone_bc_14,zone_bc_37,327.0,0.0,0.0,327.0
116,zone_bc_14,zone_bc_39,366.0,436.0,0.0,802.0
117,zone_bc_14,zone_bc_61,181.0,0.0,0.0,181.0
118,zone_bc_14,zone_bc_62,269.0,0.0,0.0,269.0
119,zone_bc_15,zone_bc_9,90.0,0.0,0.0,90.0
120,zone_bc_15,zone_bc_11,78.0,45.0,0.0,123.0
121,zone_bc_15,zone_bc_13,106.0,651.0,0.0,757.0
122,zone_bc_15,zone_bc_20,90.0,0.0,0.0,90.0
123,zone_bc_16,zone_bc_1,3163.0,1571.0,0.0,4734.0
124,zone_bc_16,zone_bc_3,312.0,0.0,0.0,312.0
125,zone_bc_16,zone_bc_4,208.0,515.0,0.0,723.0
126,zone_bc_16,zone_bc_5,226.0,0.0,0.0,226.0
127,zone_bc_16,zone_bc_9,2884.0,2886.0,0.0,5770.0
128,zone_bc_16,zone_bc_10,21.0,819.0,0.0,840.0
129,zone_bc_16,zone_bc_11,3485.0,1963.0,547.0,5995.0
130,zone_bc_16,zone_bc_13,5950.0,5074.0,4673.0,15697.0
131,zone_bc_16,zone_bc_14,982.0,407.0,0.0,1389.0
132,zone_bc_16,zone_bc_15,143.0,124.0,526.0,793.0
133,zone_bc_16,zone_bc_16,9897.0,4395.0,15110.0,29402.0
134,zone_bc_16,zone_bc_17,190.0,179.0,242.0,611.0
135,zone_bc_16,zone_bc_19,139.0,0.0,0.0,139.0
136,zone_bc_16,zone_bc_20,2872.0,940.0,56.0,3868.0
137,zone_bc_16,zone_bc_23,1160.0,1033.0,141.0,2334.0
138,zone_bc_16,zone_bc_24,1883.0,312.0,0.0,2195.0
139,zone_bc_16,zone_bc_26,132.0,0.0,0.0,132.0
140,zone_bc_16,zone_bc_28,971.0,152.0,0.0,1123.0
141,zone_bc_16,zone_bc_31,1183.0,174.0,391.0,1748.0
142,zone_bc_16,zone_bc_32,646.0,76.0,0.0,722.0
143,zone_bc_16,zone_bc_33,2511.0,2459.0,2004.0,6974.0
144,zone_bc_16,zone_bc_34,355.0,102.0,0.0,457.0
