origin,destination,volume_car,volume_bus,volume_walk
zone_0,zone_0,0.057869914839844695,0.0,31637.72928149841
zone_0,zone_1,0.2333182200450799,975.0305745388896,0.0
zone_0,zone_10,8.282171907578943e-260,5.011174848757043,0.0
zone_0,zone_12,0.03563156623920297,110.09494851523841,0.0
zone_0,zone_13,5671.7415907998375,0.0,0.0
zone_0,zone_15,0.6570121743593933,2243.331479563412,0.0
zone_0,zone_17,47.748947929651045,0.0,0.0
zone_0,zone_19,0.7747175481762614,868.5458742778699,0.0
zone_0,zone_21,1185.4951272477847,0.0,0.0
zone_0,zone_23,0.00882243950671919,36.018438574496486,0.0
zone_0,zone_29,0.04664300763697535,155.64368139720148,0.0
zone_0,zone_3,0.08770892003577428,266.06666177973085,0.0
zone_0,zone_30,0.02709718491660945,51.158509038983446,0.0
zone_0,zone_35,0.17845454597288557,1120.7311226578388,0.0
zone_0,zone_37,0.41673909970583406,1047.3193666786128,0.0
zone_0,zone_41,0.6214825181871289,0.0,5936.9031638883325
zone_0,zone_42,0.12338391295336473,474.42274872859207,0.0
zone_0,zone_43,0.06290063709470337,138.88909443347723,0.0
zone_0,zone_44,0.017290904995406187,44.812687062056845,0.0
zone_0,zone_45,0.12586189465664938,0.0,845.0508599852268
zone_0,zone_47,0.497860873236011,2803.0280960560203,0.0
zone_0,zone_48,2198.6897180306896,0.0,0.0
zone_0,zone_49,0.040315759418430235,153.02940076502023,0.0
zone_0,zone_5,0.375883516782768,1032.2395793694593,0.0
zone_0,zone_50,0.1445757122325871,485.5107156137608,0.0
zone_0,zone_52,0.044442473548183536,250.92235041363665,0.0
zone_0,zone_53,0.03370385022297106,47.17154708436338,0.0
zone_0,zone_54,0.05375931717712787,48.730827661131876,0.0
zone_0,zone_7,798.655660781548,0.0,0.0
zone_0,zone_9,0.08955854807598924,51.66324939786385,0.0
zone_1,zone_0,598.420064069592,0.0,0.0
zone_1,zone_1,0.002373531273080013,0.0,8149.648920434285
zone_1,zone_10,0.07713422046486526,47.221645978040485,0.0
zone_1,zone_13,394.37777803707223,0.0,0.0
zone_1,zone_15,0.303584336809314,103.42091355755383,0.0
zone_1,zone_16,3.665358689587584e-260,5.0607340381024235,0.0
zone_1,zone_19,0.02388497764533908,49.06073393690737,0.0
zone_1,zone_20,0.02578807753443792,99.88058043773823,0.0
zone_1,zone_21,0.24197786015930361,481.90814786889314,0.0
zone_1,zone_22,0.08615330249458812,302.1238127461196,0.0
zone_1,zone_24,0.04140343188069869,460.6698776356377,329.5372068431414
zone_1,zone_25,0.03327221393609661,353.95521150678235,0.0
zone_1,zone_29,0.12853612452115362,580.2708746987646,0.0
zone_1,zone_3,0.23290325690620808,1569.38856374349,0.0
zone_1,zone_30,0.02443796214694898,208.5055890003864,0.0
zone_1,zone_31,0.022958960860257952,54.7162309463862,0.0
zone_1,zone_35,0.2844346561828675,155.20298033169104,0.0
zone_1,zone_36,0.03406710849342318,524.0542899260042,0.0
zone_1,zone_37,0.5745153570721082,0.0,3888.0922762082037
zone_1,zone_38,0.015983681151371498,49.793414272582524,0.0
zone_1,zone_4,0.1737343010117149,97.87220808170476,0.0
zone_1,zone_42,0.14725531892209395,0.0,1052.7560486737916
zone_1,zone_43,0.11658485296090336,10176.044587470516,0.0
zone_1,zone_44,0.13529731513041787,819.7091507652065,0.0
zone_1,zone_45,47.65855087772023,0.0,0.0
zone_1,zone_46,0.02424930588066233,141.86917781754295,0.0
zone_1,zone_47,0.06262116947305647,116.32038282118148,0.0
zone_1,zone_48,1403.913542167783,0.0,0.0
zone_1,zone_49,0.1313570638119477,778.1268787653752,0.0
zone_1,zone_5,0.4015029388222049,157.1361924278662,0.0
zone_1,zone_50,0.020112266414549277,123.47288607087128,0.0
zone_1,zone_51,0.038047513392295354,94.80584670552837,0.0
zone_1,zone_53,0.01365593259995069,95.9791016789308,0.0
zone_1,zone_54,0.02254410400933487,99.19437766526562,0.0
zone_1,zone_55,0.049066475281270026,214.88005584047062,0.0
zone_1,zone_56,0.02785504574757433,1210.4517642781686,603.5967356124714
zone_1,zone_57,0.014062354605830074,115.4995894452761,0.0
zone_1,zone_6,0.022909257367749836,447.8373397121573,0.0
zone_1,zone_7,101.53952084471845,0.0,0.0
zone_1,zone_9,0.14533850863146136,420.944093539649,0.0
zone_10,zone_1,0.06767219969726887,51.839129061130215,0.0
zone_10,zone_10,3.312122107419654e-257,0.0,12496.70395045321
zone_10,zone_12,554.4696173925137,0.0,0.0
zone_10,zone_13,224.0362287750757,0.0,0.0
zone_10,zone_15,0.1875221255883634,51.337723108053545,0.0
zone_10,zone_22,0.10737832341328593,120.699061338045,0.0
zone_10,zone_28,4.982533510064143,0.0,0.0
zone_10,zone_33,0.485456852660618,0.0,4908.414883821143
zone_10,zone_35,0.19757498425866377,154.22340532494582,0.0
zone_10,zone_36,0.10050009166658917,725.0558800900283,0.0
zone_10,zone_37,0.05335641330770867,52.838436922577785,0.0
zone_10,zone_38,0.17477398810361752,2311.1369408092305,0.0
zone_10,zone_39,373.2438856368497,0.0,0.0
zone_10,zone_4,776.3839614329993,0.0,0.0
