,origin,destination,volume_car,volume_pt,volume_walk,volumes_calibration
88,zone_bc_16,zone_bc_37,312.0,720.0,0.0,1032.0
89,zone_bc_16,zone_bc_39,202.0,1076.0,133.0,1411.0
90,zone_bc_16,zone_bc_59,408.0,586.0,0.0,994.0
91,zone_bc_16,zone_bc_61,113.0,211.0,0.0,324.0
92,zone_bc_17,zone_bc_16,193.0,640.0,255.0,1088.0
93,zone_bc_19,zone_bc_1,47.0,265.0,0.0,312.0
94,zone_bc_19,zone_bc_11,66.0,435.0,0.0,501.0
95,zone_bc_19,zone_bc_13,689.0,3330.0,0.0,4019.0
96,zone_bc_19,zone_bc_16,228.0,312.0,0.0,540.0
97,zone_bc_19,zone_bc_24,238.0,1075.0,248.0,1561.0
98,zone_bc_20,zone_bc_9,270.0,1393.0,0.0,1663.0
99,zone_bc_20,zone_bc_16,454.0,3858.0,90.0,4402.0
100,zone_bc_20,zone_bc_20,259.0,772.0,0.0,1031.0
101,zone_bc_20,zone_bc_23,937.0,8231.0,163.0,9331.0
102,zone_bc_20,zone_bc_24,78.0,1222.0,0.0,1300.0
103,zone_bc_20,zone_bc_33,207.0,501.0,0.0,708.0
104,zone_bc_20,zone_bc_39,355.0,1502.0,0.0,1857.0
105,zone_bc_21,zone_bc_13,242.0,1416.0,472.0,2130.0
106,zone_bc_21,zone_bc_16,88.0,309.0,602.0,999.0
107,zone_bc_23,zone_bc_1,3491.0,2166.0,0.0,5657.0
108,zone_bc_23,zone_bc_9,1638.0,1841.0,0.0,3479.0
109,zone_bc_23,zone_bc_11,1195.0,781.0,53.0,2029.0
110,zone_bc_23,zone_bc_13,1324.0,7725.0,1194.0,10243.0
111,zone_bc_23,zone_bc_16,1696.0,5120.0,88.0,6904.0
112,zone_bc_23,zone_bc_20,884.0,9975.0,270.0,11129.0
113,zone_bc_23,zone_bc_23,254.0,5355.0,12357.0,17966.0
114,zone_bc_23,zone_bc_24,480.0,1081.0,0.0,1561.0
115,zone_bc_23,zone_bc_31,1056.0,106.0,0.0,1162.0
116,zone_bc_23,zone_bc_37,392.0,135.0,0.0,527.0
117,zone_bc_23,zone_bc_39,344.0,1812.0,0.0,2156.0
118,zone_bc_23,zone_bc_49,279.0,181.0,0.0,460.0
119,zone_bc_24,zone_bc_1,1601.0,1473.0,283.0,3357.0
120,zone_bc_24,zone_bc_8,114.0,213.0,0.0,327.0
121,zone_bc_24,zone_bc_9,217.0,1281.0,105.0,1603.0
122,zone_bc_24,zone_bc_11,488.0,4690.0,415.0,5593.0
123,zone_bc_24,zone_bc_13,2563.0,13910.0,1915.0,18388.0
124,zone_bc_24,zone_bc_16,752.0,2780.0,258.0,3790.0
125,zone_bc_24,zone_bc_19,541.0,3545.0,989.0,5075.0
126,zone_bc_24,zone_bc_20,147.0,2077.0,308.0,2532.0
127,zone_bc_24,zone_bc_23,254.0,99.0,116.0,469.0
128,zone_bc_24,zone_bc_24,595.0,6272.0,16363.0,23230.0
129,zone_bc_24,zone_bc_37,70.0,230.0,0.0,300.0
130,zone_bc_24,zone_bc_39,95.0,954.0,0.0,1049.0
131,zone_bc_28,zone_bc_9,1213.0,67.0,0.0,1280.0
132,zone_bc_28,zone_bc_14,34.0,106.0,0.0,140.0
133,zone_bc_28,zone_bc_16,152.0,847.0,0.0,999.0
134,zone_bc_31,zone_bc_16,117.0,396.0,0.0,513.0
135,zone_bc_31,zone_bc_24,169.0,151.0,0.0,320.0
136,zone_bc_31,zone_bc_33,76.0,112.0,0.0,188.0
137,zone_bc_33,zone_bc_1,291.0,874.0,0.0,1165.0
138,zone_bc_33,zone_bc_9,728.0,1075.0,0.0,1803.0
139,zone_bc_33,zone_bc_10,88.0,122.0,0.0,210.0
140,zone_bc_33,zone_bc_11,1273.0,2355.0,598.0,4226.0
141,zone_bc_33,zone_bc_13,1739.0,2100.0,380.0,4219.0
142,zone_bc_33,zone_bc_14,269.0,352.0,0.0,621.0
143,zone_bc_33,zone_bc_16,1420.0,3078.0,3220.0,7718.0
144,zone_bc_33,zone_bc_17,150.0,248.0,374.0,772.0
145,zone_bc_33,zone_bc_20,584.0,374.0,0.0,958.0
146,zone_bc_33,zone_bc_23,226.0,265.0,0.0,491.0
147,zone_bc_33,zone_bc_24,240.0,186.0,0.0,426.0
148,zone_bc_33,zone_bc_31,95.0,70.0,0.0,165.0
149,zone_bc_33,zone_bc_33,326.0,919.0,1559.0,2804.0
150,zone_bc_33,zone_bc_37,172.0,169.0,33.0,374.0
151,zone_bc_34,zone_bc_16,102.0,76.0,0.0,178.0
152,zone_bc_37,zone_bc_9,704.0,604.0,0.0,1308.0
153,zone_bc_37,zone_bc_11,37.0,261.0,0.0,298.0
154,zone_bc_37,zone_bc_16,65.0,131.0,0.0,196.0
155,zone_bc_37,zone_bc_33,237.0,107.0,0.0,344.0
156,zone_bc_37,zone_bc_39,38.0,139.0,0.0,177.0
157,zone_bc_39,zone_bc_1,219.0,726.0,60.0,1005.0
158,zone_bc_39,zone_bc_3,29.0,1228.0,14.0,1271.0
159,zone_bc_39,zone_bc_4,124.0,755.0,0.0,879.0
160,zone_bc_39,zone_bc_9,196.0,122.0,0.0,318.0
161,zone_bc_39,zone_bc_11,311.0,1065.0,0.0,1376.0
162,zone_bc_39,zone_bc_13,69.0,4897.0,0.0,4966.0
163,zone_bc_39,zone_bc_14,474.0,414.0,0.0,888.0
164,zone_bc_39,zone_bc_16,165.0,1052.0,52.0,1269.0
165,zone_bc_39,zone_bc_20,164.0,1755.0,0.0,1919.0
166,zone_bc_39,zone_bc_23,195.0,661.0,0.0,856.0
167,zone_bc_39,zone_bc_24,95.0,174.0,0.0,269.0
168,zone_bc_39,zone_bc_33,36.0,97.0,0.0,133.0
169,zone_bc_39,zone_bc_37,60.0,104.0,0.0,164.0
170,zone_bc_39,zone_bc_39,60.0,104.0,5297.0,5461.0
171,zone_bc_59,zone_bc_16,692.0,136.0,0.0,828.0
172,zone_bc_62,zone_bc_33,36.0,51.0,0.0,87.0
173,zone_bc_7,zone_bc_16,0.0,0.0,431.0,431.0
174,zone_bc_8,zone_bc_14,0.0,0.0,131.0,131.0
175,zone_bc_9,zone_bc_7,0.0,0.0,612.0,612.0
176,zone_bc_11,zone_bc_10,0.0,0.0,1047.0,1047.0
177,zone_bc_11,zone_bc_21,0.0,0.0,88.0,88.0
178,zone_bc_11,zone_bc_49,0.0,0.0,1049.0,1049.0
179,zone_bc_13,zone_bc_20,0.0,0.0,1620.0,1620.0
180,zone_bc_14,zone_bc_8,0.0,0.0,182.0,182.0
181,zone_bc_17,zone_bc_23,0.0,0.0,78.0,78.0
182,zone_bc_17,zone_bc_33,0.0,0.0,243.0,243.0
183,zone_bc_17,zone_bc_34,0.0,0.0,53.0,53.0
184,zone_bc_19,zone_bc_4,0.0,0.0,177.0,177.0
185,zone_bc_19,zone_bc_9,0.0,0.0,58.0,58.0
186,zone_bc_19,zone_bc_19,0.0,0.0,610.0,610.0
187,zone_bc_20,zone_bc_13,0.0,0.0,939.0,939.0
188,zone_bc_23,zone_bc_14,0.0,0.0,242.0,242.0
189,zone_bc_23,zone_bc_17,0.0,0.0,78.0,78.0
190,zone_bc_24,zone_bc_14,0.0,0.0,493.0,493.0
191,zone_bc_24,zone_bc_26,0.0,0.0,165.0,165.0
192,zone_bc_24,zone_bc_33,0.0,0.0,165.0,165.0
193,zone_bc_24,zone_bc_40,0.0,0.0,155.0,155.0
194,zone_bc_24,zone_bc_41,0.0,0.0,88.0,88.0
195,zone_bc_34,zone_bc_17,0.0,0.0,53.0,53.0
