origin,destination,volume_car,volume_bus,volume_walk
zone_0,zone_0,5.8631359783728885e-257,0.0,22121.731073513634
zone_0,zone_1,471.7514997584003,638.3383082361211,4.695054070582066e-09
zone_0,zone_12,43.27413503240784,125.97665520172329,1.675409168914414e-13
zone_0,zone_13,6317.210956137627,0.0,5.2619780270911046e-05
zone_0,zone_15,750.3351513230588,2751.0040072561014,0.03913981488479761
zone_0,zone_16,21.978837199051757,29.752714680886015,1.512192545759129e-17
zone_0,zone_17,53.01085766289942,0.0,6.949600657536187e-07
zone_0,zone_19,621.2040338394021,260.84677969588967,2.07131921834969e-11
zone_0,zone_21,450.3857153109326,316.2800299975015,0.2591268525091257
zone_0,zone_22,14.234782697559734,43.1034551736212,3.98134717047296e-09
zone_0,zone_24,17.789102174551555,41.73827194893742,4.777148886879219e-15
zone_0,zone_28,61.22663571363007,0.0,3.510240013334061e-05
zone_0,zone_29,189.31283710849897,76.43827220299409,3.1059649067107723e-21
zone_0,zone_3,32.050170688925725,25.132972485786443,3.9515754380915736e-16
zone_0,zone_30,23.202765751701474,27.508213893440853,7.655415888010971e-17
zone_0,zone_35,213.32954305451344,782.4622870598562,3.7137709987967967e-10
zone_0,zone_37,237.58445815352405,558.0802825012254,4.415005068400445e-09
zone_0,zone_41,512.7738996801305,6803.010835602651,6872.346524638739
zone_0,zone_42,297.72787858141,162.15908028049103,1.6344529282634e-10
zone_0,zone_43,17.842353354940396,29.04402048542786,1.8673689544472472e-16
zone_0,zone_44,14.876028788193254,34.55084263279265,1.3954984381525938e-16
zone_0,zone_45,412.9817727334936,328.23789855308405,0.42518928016885243
zone_0,zone_47,754.3123858158757,2002.8789299762677,0.00015763137551170467
zone_0,zone_48,1152.589043562678,916.5024876428861,0.12262060279477945
zone_0,zone_49,142.5588783617896,71.4367626820101,2.6703920359588417e-14
zone_0,zone_5,292.23465361346433,824.8222423780818,5.925297084767489e-12
zone_0,zone_50,321.3843076597564,169.24096701956924,7.902865608056417e-08
zone_0,zone_51,36.71328458555674,9.752991258551367,4.748975008929934e-22
zone_0,zone_52,53.38854350976355,183.66016235771156,9.362291978303602e-11
zone_0,zone_53,21.787544574831976,26.372382855309564,1.5846541538396406e-19
zone_0,zone_54,28.245416223299785,22.094618362069617,7.555974057141093e-23
zone_0,zone_7,851.4332698034153,0.0,0.08490583725300072
zone_0,zone_9,27.75946680600974,24.216004794314102,1.4888583034647206e-22
zone_1,zone_0,996.8357360007876,4.00801426855317,1.246957658689384e-08
zone_1,zone_1,1.9875432349682926e-257,0.0,7499.040974511334
zone_1,zone_10,59.520594405297864,30.595876629443065,3.497964472786372e-11
zone_1,zone_13,521.2621861304206,0.0,7.564506931248759e-13
zone_1,zone_19,33.43824852432837,59.926988445992414,0.0020455929483662425
zone_1,zone_20,32.59326977220984,108.58898049238266,4.5707614141058466e-11
zone_1,zone_21,340.99503739773155,0.0,0.004661893353908606
zone_1,zone_22,212.53603629537724,172.36532639004773,2.714449599131706e-06
zone_1,zone_24,177.02203019359277,506.65896036176144,0.7167953979537683
zone_1,zone_25,125.89947365430764,624.0396107876619,7.428384435099062e-05
zone_1,zone_29,239.7368133537601,317.73512230602165,1.3348069833044158e-10
zone_1,zone_3,368.01361063099574,993.7656454576306,0.0010473288668631795
zone_1,zone_30,70.81136419897673,315.8454395241706,0.00022167110074922038
zone_1,zone_35,98.46620316344794,0.8577074510037878,1.924375980407936e-15
