route_type,catchment,frequency (veh/hours),fleet,length (m),num station,veh.km/h
NCD,95756.09430168908,6.0,25.0,74935,282,457.20000000000005
PMV,141614.1323602322,11.661087866108787,79.0,125509,492,1479.6
